longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.0571842,4.7043284,5,2,144.0,12,3,2,0.0,5,3900000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Calentador', 'Circuito cerrado de TV', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Garaje(s)', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.0647797,4.6304311,4,1,36.0,23,1,1,0.0,0,2000000,"['Calentador', 'Colegios / Universidades', 'Instalación de gas', 'Loft', 'Piso en Baldosa /  Mármol', 'Salón de Juegos', 'Vigilancia']"
-74.069480895996,4.7412567692301,4,1,36.0,0,1,0,210000.0,12,1526000,"['Ascensor', 'Calentador', 'Canchas Deportivas', 'Cerca centro comercial', 'Citófono', 'Closet', 'Cocina Integral', 'Gimnasio', 'Instalación de gas', 'Salón Comunal', 'Shut de basura', 'Trans. Público cercano', 'Vista panorámica', 'Zona de BBQ', 'Zona Residencial', 'Área Urbana']"
-74.0686494,4.63937,3,1,30.0,0,1,0,100000.0,5,1350000,"['Barra estilo americano', 'Cocina Integral', 'Colegios / Universidades', 'Instalación de gas', 'Loft', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Zona Comercial', 'Zona de lavandería', 'Zona Residencial']"
-74.1122478,4.6635352,5,2,85.0,0,3,2,0.0,0,5000000,"['Alcantarillado', 'Asador', 'Ascensor', 'Balcón', 'Baño Auxiliar', 'Bombas de gasolina', 'Caldera', 'Cerca a sector comercial', 'Cerca centro comercial', 'Cerca de Zona Urbana', 'Closet', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Comedor', 'Cómodas vias de acceso', 'Depósito / Bodega', 'En conjunto cerrado', 'En zona residencial', 'Estudio', 'Garaje / Parqueadero(s)', 'Gimnasio', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Piso en Madera', 'Portería / Recepción', 'Portería / Vigilancia', 'Salón Comunal', 'Seguridad', 'Servicios Públicos', 'Sobre vía secundaria', 'Supermercados / C.Comerciales', 'Todos los Servicios', 'Trans. Público cercano', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Vista panorámica', 'Zona de BBQ', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Área Urbana']"
-74.05181664904,4.6488506383382,6,3,189.0,23,3,3,1440000.0,4,9660000,"['Acceso Pavimentado', 'Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Baño Independiente', 'Calentador', 'Cerca de Zona Urbana', 'Chimenea', 'Citófono', 'Closet', 'Cochera', 'Cocina Equipada', 'Cocina Integral', 'Cocina tipo Americano', 'Comedor auxiliar', 'Depósito / Bodega', 'Despensa', 'Estudio', 'Garaje(s)', 'Hall de Alcobas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Sobre vía principal', 'Trans. Público cercano', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona de lavandería', 'Zona Residencial', 'Zonas Verdes']"
-74.1911117,4.6421895,3,1,52.0,0,2,0,0.0,5,900000,"['Colegios / Universidades', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.1339756,4.6609837,3,1,40.0,0,2,0,0.0,4,1500000,"['Ascensor', 'Calentador', 'Canchas Deportivas', 'Circuito cerrado de TV', 'Cocina Integral', 'Colegios / Universidades', 'En conjunto cerrado', 'Gimnasio', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Portería / Recepción', 'Sala de internet', 'Salón Comunal', 'Salón de Juegos', 'Sauna / Turco / Jacuzzi', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.1704747,4.6141883,3,1,52.0,31,3,0,0.0,3,900000,"['Colegios / Universidades', 'En conjunto cerrado', 'Instalación de gas', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.053742,4.653687,6,3,140.0,0,3,2,1100000.0,4,7500000,"['Ascensor', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Hall de Alcobas', 'Planta Eléctrica', 'Planta Eléctrica', 'Salón Comunal', 'Shut de basura']"
