longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.0427671,4.6723938,6,3,120.0,4,2,2,0.0,3,16500000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Caldera', 'Canchas Deportivas', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina tipo Americano', 'Colegios / Universidades', 'Cuarto de Escoltas', 'Depósito / Bodega', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Jardín', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Piso en Baldosa /  Mármol', 'Planta Eléctrica', 'Portería / Recepción', 'Sala de internet', 'Salón Comunal', 'Salón de Juegos', 'Sauna / Turco / Jacuzzi', 'Sauna / Turco / Jacuzzi', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona Comercial', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.059987,4.641087,4,1,45.0,23,1,1,0.0,1,2397000,"['Amoblado', 'Chimenea', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'En conjunto cerrado', 'Garaje(s)', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona Residencial']"
-74.0694272,4.6195498,4,2,38.0,0,1,1,0.0,16,2350000,"['Ascensor', 'Caldera', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Sala de internet', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Vivienda Multifamiliar', 'Zona Comercial', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial']"
-74.046927,4.663039,6,4,173.0,12,3,3,0.0,0,12000000,"['Amoblado', 'Ascensor', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Cancha de Squash', 'Chimenea', 'Circuito cerrado de TV', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de servicio', 'Depósito / Bodega', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Salón de Juegos', 'Trans. Público cercano', 'Vista panorámica', 'Zona Campestre', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.043204657578,4.6714912905325,6,3,120.0,4,2,2,1471500.0,3,15528500,"['Acceso Pavimentado', 'Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Baño Independiente', 'Calentador', 'Cancha de Squash', 'Canchas Deportivas', 'Cerca de Zona Urbana', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Colegios / Universidades', 'Depósito / Bodega', 'Despensa', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Portería / Recepción', 'Salón Comunal', 'Sauna / Turco / Jacuzzi', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes', 'Árboles frutales']"
-74.0271706740662,4.69091101173575,6,3,420.0,23,3,4,4533000.0,5,17000000,"['Parques cercanos', 'Supermercados / C.Comerciales', 'Zona Residencial']"
-74.049510040344,4.7226900117112,5,2,87.0,31,2,1,100000.0,0,2600000,"['Calentador', 'Cerca centro comercial', 'Chimenea', 'Closet', 'Cocina Integral', 'Instalación de gas', 'Terraza', 'Trans. Público cercano', 'Zona Residencial', 'Área Urbana']"
-74.056102,4.6828265,6,2,59.2,4,1,1,0.0,3,3800000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Instalación de gas', 'Jardín', 'Loft', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Salón Comunal', 'Sauna / Turco / Jacuzzi', 'Sauna / Turco / Jacuzzi', 'Terraza', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.0525124,4.6759273,6,4,116.0,23,4,2,0.0,7,5500000,"['Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cuarto de servicio', 'Depósito / Bodega', 'Hall de Alcobas', 'Instalación de gas', 'Patio', 'Zona de lavandería']"
-74.038925170898,4.6937567202381,5,3,135.0,23,3,4,1000000.0,4,4600000,"['Ascensor', 'Canchas Deportivas', 'Citófono', 'Cocina Integral', 'Gimnasio', 'Instalación de gas', 'Trans. Público cercano', 'Vista panorámica']"
