longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price
-74.0395596,4.7251363,5.0,1.0,45.0,12.0,2.0,1.0,0.0,0.0,1750000.0
-74.03517762199,4.6955455991483,6.0,4.0,187.0,12.0,3.0,2.0,1000000.0,9.0,6950000.0
-74.0569831,4.6940339,5.0,2.0,90.0,4.0,2.0,1.0,0.0,5.0,3500000.0
-74.041122269836,4.676293704974,6.0,4.0,218.0,4.0,3.0,4.0,2631000.0,6.0,18500000.0
-74.040521116309,4.7166296946642,5.0,1.0,26.0,4.0,1.0,0.0,350000.0,4.0,1350000.0
-74.0631176,4.635504,4.0,2.0,42.0,4.0,1.0,1.0,370000.0,1.0,2000000.0
-74.0504155,4.6620789,6.0,4.0,156.0,23.0,3.0,3.0,1663000.0,6.0,7337000.0
-74.0880693,4.744579,3.0,2.0,40.0,12.0,2.0,0.0,0.0,4.0,1400000.0
-74.0554428100586,4.68511724472046,6.0,1.0,49.0,12.0,1.0,1.0,0.0,8.0,2900000.0
-74.1176416,4.6603643,4.0,3.0,160.0,23.0,4.0,1.0,500000.0,0.0,4500000.0
-74.069,4.626,4.0,2.0,78.0,23.0,3.0,1.0,382900.0,4.0,2919845.0
-74.1435605,4.6658692,3.0,1.0,43.0,0.0,2.0,0.0,135000.0,0.0,1200000.0
-74.058430194855,4.6737180229275,5.0,1.0,68.0,4.0,1.0,1.0,600000.0,7.0,4000000.0
-74.0413404,4.7169591,5.0,1.0,20.0,0.0,1.0,0.0,320000.0,0.0,1680000.0
-74.035392701626,4.6948741226765,6.0,3.0,106.0,31.0,2.0,1.0,580000.0,2.0,2820000.0
-74.0327893,4.6971487,5.0,1.0,22.0,0.0,1.0,0.0,310000.0,0.0,2350000.0
-74.131593849074,4.6504613,4.0,2.0,53.0,4.0,3.0,1.0,0.0,2.0,1850000.0
-74.0357903,4.6978081,6.0,3.0,170.0,0.0,4.0,3.0,896000.0,7.0,6000000.0
-74.1703782,4.6514716,3.0,2.0,52.0,12.0,2.0,0.0,0.0,12.0,830000.0
-74.0615901,4.6345839,4.0,2.0,45.0,31.0,1.0,2.0,350000.0,0.0,3000000.0
-74.0530851,4.6559069,6.0,2.0,68.9,4.0,1.0,2.0,605000.0,7.0,3500000.0
-74.045329876846,4.6713438665181,6.0,4.0,224.0,23.0,3.0,3.0,0.0,0.0,12500000.0
-74.0572577,4.6426036,5.0,4.0,200.0,4.0,4.0,2.0,1500000.0,11.0,5000000.0
-74.0566105,4.7033984,5.0,2.0,80.0,12.0,2.0,1.0,500000.0,0.0,3500000.0
-74.0633469,4.7356702,5.0,1.0,34.0,0.0,1.0,0.0,0.0,0.0,2200000.0
-74.1284013,4.7191984,3.0,1.0,50.0,4.0,3.0,0.0,0.0,3.0,1280000.0
-74.045282,4.6766724,6.0,2.0,75.0,4.0,2.0,2.0,0.0,2.0,5500000.0
-74.0619643,4.7455619,3.0,1.0,25.0,4.0,2.0,0.0,0.0,3.0,1000000.0
-74.0589503,4.6398854,4.0,2.0,78.0,12.0,1.0,0.0,0.0,0.0,2800000.0
-74.0671734,4.6910215,4.0,1.0,48.0,0.0,1.0,1.0,0.0,3.0,2500000.0
-74.0536976,4.6719678,4.0,1.0,30.0,4.0,1.0,0.0,135600.0,0.0,2864400.0
-74.0587037,4.6517569,4.0,1.0,42.0,4.0,1.0,1.0,0.0,5.0,2300000.0
-74.066349032366,4.611724007228,4.0,1.0,45.0,23.0,1.0,0.0,100000.0,2.0,1600000.0
-74.0566105,4.7033984,5.0,2.0,85.0,12.0,2.0,1.0,500000.0,0.0,3500000.0
-74.1300116,4.6712574,4.0,2.0,46.0,23.0,2.0,0.0,160000.0,0.0,1340000.0
-74.0349891,4.7206838,4.0,3.0,86.0,4.0,3.0,1.0,0.0,5.0,3500000.0
-74.1068831,4.7368354,2.0,1.0,51.0,23.0,3.0,0.0,0.0,4.0,1180000.0
-74.0596546,4.6465268,4.0,1.0,40.0,4.0,1.0,2.0,418000.0,7.0,1600000.0
-74.031540633868,4.7090582948515,5.0,3.0,129.0,12.0,3.0,2.0,800000.0,7.0,4100000.0
-74.0615901,4.6345839,4.0,3.0,112.0,12.0,2.0,2.0,1185000.0,0.0,5300000.0
-74.1319448,4.7113799,2.0,1.0,32.0,12.0,2.0,0.0,0.0,0.0,900000.0
-74.054,4.682,6.0,2.0,58.0,4.0,1.0,1.0,437000.0,0.0,3500000.0
-74.0632273,4.6341816,4.0,2.0,43.0,12.0,1.0,1.0,0.0,0.0,2400000.0
-74.054546356201,4.6576727509951,6.0,4.0,235.0,31.0,3.0,3.0,1705000.0,4.0,9300000.0
-74.0490546,4.6670686,6.0,3.0,220.0,12.0,3.0,2.0,1503000.0,8.0,15000000.0
-74.0419457,4.7001454,5.0,4.0,155.0,31.0,5.0,2.0,400000.0,0.0,5040000.0
-74.0389305,4.6941066,5.0,3.0,85.0,23.0,3.0,1.0,0.0,4.0,3200000.0
-74.1717041,4.6258851,4.0,2.0,68.0,23.0,3.0,1.0,0.0,0.0,1800000.0
-74.0364333,4.687067,5.0,1.0,41.0,0.0,1.0,1.0,0.0,0.0,3600000.0
-74.0483703613281,4.74657201766968,3.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,900000.0
-74.055248458895,4.676153559553,6.0,2.0,125.0,23.0,3.0,2.0,831400.0,0.0,6300000.0
-74.167913090278,4.6957928329844,3.0,2.0,42.0,4.0,3.0,0.0,0.0,15.0,1050000.0
-74.0334567,4.6907432,6.0,4.0,168.0,31.0,3.0,1.0,0.0,2.0,6800000.0
-74.0502998,4.7477887,3.0,2.0,61.0,23.0,2.0,1.0,0.0,5.0,1800000.0
-74.0471646,4.6812359,6.0,3.0,97.0,12.0,3.0,2.0,0.0,0.0,5200000.0
-74.0858685,4.6286146,4.0,1.0,32.0,0.0,1.0,0.0,0.0,0.0,1800000.0
-74.0938969,4.5892206,3.0,2.0,84.0,31.0,3.0,0.0,0.0,2.0,1580000.0
-74.060797781712,4.717463350258,4.0,1.0,39.0,0.0,1.0,0.0,230000.0,0.0,1720000.0
-74.0614307,4.6422363,4.0,3.0,140.0,23.0,3.0,2.0,0.0,7.0,5300000.0
-74.1320705,4.6524133,3.0,1.0,40.0,0.0,2.0,0.0,0.0,11.0,1250000.0
-74.0566105,4.7033984,5.0,2.0,76.0,12.0,2.0,1.0,500000.0,0.0,3500000.0
-74.0543388,4.6963347,6.0,2.0,102.0,23.0,3.0,2.0,0.0,0.0,5000000.0
-74.1548984,4.5854288,3.0,1.0,42.0,4.0,2.0,0.0,0.0,0.0,890000.0
-74.0415483,4.68859490000001,6.0,4.0,135.0,23.0,3.0,2.0,930000.0,4.0,4000000.0
-74.0562783,4.6732575,6.0,2.0,82.0,12.0,2.0,2.0,0.0,2.0,4700000.0
-74.0434025,4.6881472,5.0,3.0,125.0,4.0,2.0,2.0,1051400.0,0.0,3948600.0
-74.147771894932,4.6412688756347,3.0,1.0,42.0,4.0,3.0,0.0,0.0,0.0,1300000.0
-74.1218718,4.7183391,3.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,750000.0
-74.0600549,4.6489752,4.0,1.0,45.0,0.0,1.0,0.0,1000000.0,0.0,2200000.0
-74.0408453,4.7045659,6.0,5.0,270.0,4.0,3.0,2.0,1800000.0,0.0,5200000.0
-74.0667134,4.6145491,4.0,3.0,198.0,23.0,4.0,1.0,0.0,0.0,3600000.0
-74.1411769,4.667417,3.0,2.0,55.0,31.0,3.0,1.0,0.0,4.0,1600000.0
-74.0528126,4.6636122,5.0,2.0,112.0,23.0,2.0,1.0,1144192.0,0.0,6570000.0
-74.0482945,4.6570201,6.0,3.0,90.0,4.0,2.0,2.0,0.0,3.0,5000000.0
-74.0758971,4.7181165,5.0,4.0,191.0,23.0,3.0,3.0,0.0,0.0,6300000.0
-74.0675019,4.6461449,4.0,1.0,21.0,0.0,1.0,0.0,100000.0,3.0,1300000.0
-74.0563453,4.6882855,6.0,3.0,89.0,12.0,2.0,2.0,0.0,4.0,4900000.0
-74.068396479855,4.626886325249,4.0,2.0,43.0,4.0,1.0,0.0,158100.0,7.0,1780000.0
-74.0465493,4.6771561,6.0,3.0,200.0,23.0,3.0,2.0,1396000.0,0.0,5500000.0
